ISO,CITY,MOST_EXPENSIVE_AREA,LEAST_EXPENSIVE_AREA,UPPERCOST IN Price/SQM,LOWERCOST IN Price/SQM,MEDIAN_INCOME IN $/Yen/Euro/Yuan/Rupee,Link 1,Link 2,,,,,,,,,PTI,Normaliized,,
BRA,Brasila,Asa_Sul,Taguatinga,7800,3452,50000,https://www.tadeuimoveis.com.br/imovel/casa-4-quartos-venda-lago-sul-brasilia-df-shis-qi-9-458013,https://www.proprietariodireto.com.br/preco-m2/taguatinga_norte_(taguatinga)-brasilia,,,,,,,,,5.626,0.933322271,,
CHN,Shanghai,Xipiu,Quingpu,100000,35000,80000,"ttps://sh.58.com/xinfang/huxing/59112618-849961.html?soj_info=%7B""sid""%3A""46fa61ef-8ade-02eb-d5a2-1caf94b3a237""%7D&is_from_toufang=1&from=loupan_index_plan_detail",https://life.vanke.com/estate?proCode=1545044637119A,,,,,,,,,42.1875,0,SD,AVG
CRI,San Jose,Santa Ana,San Sebastian,1814,1200,25000,https://www.realtor.com/international/cr/condominio-sabana-real-san-jose-san-jose-san-jose-san-jose-310098018092/,https://www.realtor.com/international/cr/mata-redonda-district-san-jose-san-jose-310099706534/,,,,,,,,,3.014,1,11.93874274,16.03889639
DEU,Berlin,Wilmersdorf,Spandau ,8900,2881,40000,https://ziegert-immobilien.com/en/units/1717515,https://ziegert-immobilien.com/en/projects/die-scharoun-haeuser,,,,,,,,,7.363125,0.88897788,,
FRA,Paris,6th arr,Saint Denis,14200,4417,30000,https://www.properstar.com/france/paris/buy/flat/projects,https://www.properstar.com/project/106401200,,,,,,,,,15.51416667,0.680902481,,
IDN,Jakarta,South Jakarta,East Jakarta,41212121,20000000,104000000,https://www.knightfrank.co.id/properties/residential/for-sale/the-pakubuwono-house-pakubuwono-south-jakarta/idkfindo89,https://www.rumah123.com/en/property/jakarta-timur/hos13919956/,,,,,,,,,14.71445216,0.701317161,,
IND,Mumbai,Lower Parel,Borivali,617000,215278,614524,https://www.lodhagroup.com/projects/residential-property-in-lower-parel/lodha-vista/price,https://www.99acres.com/kalpataru-advay-borivali-west-mumbai-andheri-dahisar-npxid-r431532,,,,,,,,,33.85864507,0.212614521,,
JPN,Tokyo ,Minato City,Edogawa City ,879600,496666.6,2052248,https://suumo.jp/ms/shinchiku/tokyo/sc_minato/nc_67726518/,https://suumo.jp/ms/shinchiku/tokyo/sc_edogawa/nc_67732707/,,,,,,,,,16.76535438,0.648962835,,
RUS,Moscow,Belorussia,Salarevo,8900,3800,24480,https://realting.com/russia/new-buildings/20194,https://realting.com/russia/new-buildings/5808,,,,,,,,,12.96977124,0.745854436,,
USA,NYC,Brooklyn,Bronx,17000,9468,79000,https://www.zillow.com/homedetails/136-21-Latimer-Pl-UNIT-5H-P16-Flushing-NY-11354/440980623_zpid/,https://www.zillow.com/homedetails/13835-39th-Ave-APT-10F-Flushing-NY-11354/245358597_zpid/,,,,,,,,,8.375949367,0.863123046,"Note: Russian Prices are in USD . Due to High flucuation in ruble to usd conversion, this value might change over time . Currently 1USD=  74.89 Ruble",
